연도,국가명,구분,계,적,공
2020,라이베리아,환적,43.0,43.0,0.0
2020,라트비아,환적,3647.0,3647.0,0.0
2020,러시아,환적,406080.75,392909.75,13171.0
2020,레바논,환적,2185.75,2185.75,0.0
2020,레위니옹,환적,9.0,9.0,0.0
2020,루마니아,환적,12645.75,12625.75,20.0
2020,리비아,환적,988.25,988.25,0.0
2020,리투아니아,환적,1074.0,1074.0,0.0
2020,마다가스카르,환적,285.0,285.0,0.0
2020,마르티니크,환적,132.0,132.0,0.0
2020,마샬 제도,환적,2192.0,2167.0,25.0
2020,마카오,환적,14.0,14.0,0.0
2020,말레이시아,환적,139271.5,137028.5,2243.0
2020,멕시코,환적,311419.25,299689.75,11729.5
2020,모로코,환적,4131.75,4035.75,96.0
2020,모리셔스,환적,525.0,525.0,0.0
2020,모리타니,환적,468.0,468.0,0.0
2020,모잠비크,환적,1158.0,1158.0,0.0
2020,몬테네그로,환적,118.25,118.25,0.0
2020,몰디브,환적,45.0,45.0,0.0
2020,몰타,환적,808.0,708.0,100.0
2020,미국,환적,1743133.0,1651504.5,91628.5
2020,미국령 버진아일랜드,환적,34.0,34.0,0.0
2020,미얀마,환적,4271.0,3688.0,583.0
2020,미크로네시아,환적,1844.0,1836.0,8.0
2020,바누아투,환적,5017.0,4431.0,586.0
2020,바레인,환적,753.0,753.0,0.0
2020,바베이도스,환적,1343.0,1343.0,0.0
2020,바하마,환적,90454.25,1014.0,89440.25
2020,방글라데시,환적,5982.75,5973.75,9.0
2020,베냉,환적,71.0,71.0,0.0
2020,베네수엘라,환적,10192.5,10182.5,10.0
2020,베트남,환적,211212.0,206458.0,4754.0
2020,벨기에,환적,26341.75,25722.75,619.0
2020,벨리즈,환적,339.0,339.0,0.0
2020,볼리비아,환적,6.0,6.0,0.0
2020,북마리아나 제도,환적,1732.0,1112.0,620.0
2020,불가리아,환적,2073.0,2073.0,0.0
2020,브라질,환적,111031.0,108795.0,2236.0
2020,브루나이,환적,114.0,114.0,0.0
2020,사모아,환적,3092.0,3026.0,66.0
2020,사우디아라비아,환적,37085.5,35440.5,1645.0
2020,세네갈,환적,1894.0,1894.0,0.0
2020,세이셸,환적,157.0,157.0,0.0
2020,세인트 빈센트 그레나딘,환적,124.0,124.0,0.0
2020,세인트루시아,환적,321.0,321.0,0.0
2020,세인트키츠 네비스,환적,40.0,40.0,0.0
2020,소말리아,환적,46.0,46.0,0.0
2020,솔로몬제도,환적,2868.0,2868.0,0.0
2020,수단,환적,5836.0,5818.0,18.0
2020,수리남,환적,6287.0,6287.0,0.0
2020,스리랑카,환적,5079.75,5077.75,2.0
2020,스웨덴,환적,12208.0,12180.0,28.0
2020,스페인,환적,45069.5,42976.5,2093.0
2020,슬로베니아,환적,14646.0,14646.0,0.0
2020,시리아,환적,3752.75,3752.75,0.0
2020,시에라 리온,환적,232.0,232.0,0.0
2020,싱가포르,환적,87424.75,73163.75,14261.0
2020,아랍에미리트연합국,환적,75312.25,68643.0,6669.25
2020,아루바,환적,79.0,79.0,0.0
2020,아르헨티나,환적,19642.0,18828.0,814.0
2020,아메리칸사모아,환적,1776.0,1712.0,64.0
2020,아이슬란드,환적,97.0,97.0,0.0
2020,아이티,환적,3129.0,3129.0,0.0
2020,아일랜드,환적,1187.25,1185.25,2.0
2020,알바니아,환적,633.0,633.0,0.0
2020,알제리,환적,2257.0,2257.0,0.0
2020,앙골라,환적,334.0,72.0,262.0
2020,앤티가 바부다,환적,167.0,167.0,0.0
2020,앤틸리스제도,환적,405.0,405.0,0.0
2020,앵귈라,환적,9.0,9.0,0.0
2020,에리트레아,환적,7.0,7.0,0.0
2020,에스토니아,환적,869.0,869.0,0.0
2020,에콰도르,환적,109843.25,92769.0,17074.25
2020,엘살바도르,환적,5291.5,5291.5,0.0
2020,영국,환적,21566.5,21205.5,361.0
2020,영국령 버진아일랜드,환적,28.0,28.0,0.0
2020,예멘,환적,58.0,58.0,0.0
2020,오만,환적,12116.0,12086.0,30.0
2020,온두라스,환적,5424.75,5424.75,0.0
2020,요르단,환적,6350.0,3977.0,2373.0
2020,우루과이,환적,6818.0,6792.0,26.0
2020,우크라이나,환적,15479.5,15445.5,34.0
2020,원양어획지역,환적,917.0,917.0,0.0
2020,이라크,환적,865.25,865.25,0.0
2020,이란,환적,15.0,15.0,0.0
2020,이스라엘,환적,15042.25,13695.25,1347.0
