연도,국가명,수입,수출,환적,전체물동량
2021,앤티가 바부다,0.0,1.0,170.0,171.0
2021,앤틸리스제도,9.0,52.0,474.0,535.0
2021,앵귈라,0.0,0.0,6.0,6.0
2021,에리트레아,0.0,0.0,8.0,8.0
2021,에스토니아,3096.25,389.25,1176.0,4661.5
2021,에콰도르,13330.0,19367.0,84479.25,117176.25
2021,엘살바도르,2176.0,879.0,7787.5,10842.5
2021,영국,27827.25,23200.5,32629.0,83656.75
2021,영국령 버진아일랜드,0.0,3.0,13.0,16.0
2021,예멘,1687.75,254.0,77.0,2018.75
2021,오만,7804.0,2119.25,12121.75,22045.0
2021,오스트리아,2.0,0.0,2.0,4.0
2021,온두라스,891.0,988.0,6427.75,8306.75
2021,왈리스 푸투나,0.0,0.0,2.0,2.0
2021,요르단,2523.0,2838.0,3293.25,8654.25
2021,우루과이,2496.0,3647.0,10304.0,16447.0
2021,우크라이나,4612.25,1385.25,12949.5,18947.0
2021,원양어획지역,4.0,0.0,897.0,901.0
2021,이라크,16.0,1869.5,364.0,2249.5
2021,이란,289.0,1044.0,16.0,1349.0
2021,이스라엘,6730.0,11058.0,21031.0,38819.0
2021,이집트,17730.5,41764.25,28911.0,88405.75
2021,이탈리아,63326.5,46890.75,66787.75,177005.0
2021,인도,124093.75,163915.5,114604.0,402613.25
2021,인도네시아,90140.0,104197.75,203194.75,397532.5
2021,일본,775342.25,422874.5,1716627.0,2914843.75
2021,자메이카,7711.0,2615.0,16256.0,26582.0
2021,적도 기니,13.0,9.0,189.0,211.0
2021,조지아,221.0,157.0,1625.25,2003.25
2021,중국,1232380.75,1173936.5,3891253.25,6297570.5
2021,지부티,1148.0,118.0,474.0,1740.0
2021,지브롤터,0.0,0.0,4.0,4.0
2021,차드,0.0,0.0,0.0,0.0
2021,체코,9.0,0.0,0.0,9.0
2021,칠레,63117.0,23657.0,319448.75,406222.75
2021,카메룬,26.0,353.0,594.0,973.0
2021,카보 베르데,2.0,5.0,0.0,7.0
2021,카타르,8405.75,5131.25,5487.5,19024.5
2021,캄보디아,1600.0,4453.0,6015.25,12068.25
2021,캐나다,103319.5,127315.0,501811.25,732445.75
2021,케냐,542.0,1409.0,1589.0,3540.0
2021,케이맨 제도,0.0,5.0,102.0,107.0
2021,코모로,0.0,1.0,4.0,5.0
2021,코스타리카,2295.0,1132.0,15718.75,19145.75
2021,코트디부아르,121.0,870.0,1050.0,2041.0
2021,콜롬비아,14990.0,19494.0,96033.0,130517.0
2021,콩고,48.0,56.0,89.0,193.0
2021,콩고 민주 공화국,68.0,172.0,62.0,302.0
2021,쿠바,47.0,71.0,4034.0,4152.0
2021,쿠웨이트,1296.0,1412.0,703.0,3411.0
2021,쿡 제도,0.0,0.0,6.0,6.0
2021,퀴라소,10.0,0.0,180.0,190.0
2021,크로아티아,2253.0,13121.75,4482.5,19857.25
2021,키리바시,2361.0,90.0,2596.0,5047.0
2021,키프로스,157.0,106.0,540.0,803.0
2021,탄자니아,3074.0,1485.0,853.0,5412.0
2021,태국,84669.25,96899.25,187613.75,369182.25
2021,토고,384.0,4561.0,349.0,5294.0
