입출항구분,국가명,연도,물동량
출항환적,시리아,2020,3728.75
출항환적,시에라 리온,2020,149.0
출항환적,싱가포르,2020,61906.0
출항환적,아랍에미리트연합국,2020,47831.75
출항환적,아루바,2020,79.0
출항환적,아르헨티나,2020,8361.0
출항환적,아메리칸사모아,2020,1672.0
출항환적,아이티,2020,2947.0
출항환적,아일랜드,2020,392.25
출항환적,알바니아,2020,87.0
출항환적,알제리,2020,2233.0
출항환적,앙골라,2020,39.0
출항환적,앤티가 바부다,2020,167.0
출항환적,앤틸리스제도,2020,404.0
출항환적,앵귈라,2020,9.0
출항환적,에리트레아,2020,7.0
출항환적,에스토니아,2020,126.0
출항환적,에콰도르,2020,45430.0
출항환적,엘살바도르,2020,4379.5
출항환적,영국,2020,14824.75
출항환적,영국령 버진아일랜드,2020,28.0
출항환적,예멘,2020,49.0
출항환적,오만,2020,3491.0
출항환적,온두라스,2020,4781.75
출항환적,왈리스 푸투나,2020,0.0
출항환적,요르단,2020,3660.0
출항환적,우루과이,2020,1933.0
출항환적,우크라이나,2020,5536.0
출항환적,원양어획지역,2020,27.0
출항환적,이라크,2020,787.25
출항환적,이란,2020,15.0
출항환적,이스라엘,2020,11991.25
출항환적,이집트,2020,19786.75
출항환적,이탈리아,2020,18454.0
출항환적,인도,2020,32577.25
출항환적,인도네시아,2020,54461.5
출항환적,일본,2020,906754.0
출항환적,자메이카,2020,15141.25
출항환적,적도 기니,2020,2.0
출항환적,조지아,2020,1447.5
출항환적,중국,2020,1297318.0
출항환적,지부티,2020,217.0
출항환적,칠레,2020,179192.75
출항환적,카메룬,2020,245.0
출항환적,카보 베르데,2020,1.0
출항환적,카타르,2020,3313.5
출항환적,캄보디아,2020,508.0
출항환적,캐나다,2020,305485.25
출항환적,케냐,2020,918.0
출항환적,케이맨 제도,2020,94.0
출항환적,코모로,2020,0.0
출항환적,코스타리카,2020,9562.75
출항환적,코트디부아르,2020,327.0
출항환적,콜롬비아,2020,81353.5
출항환적,콩고,2020,22.0
출항환적,콩고 민주 공화국,2020,52.0
출항환적,쿠바,2020,2495.0
출항환적,쿠웨이트,2020,554.0
출항환적,쿡 제도,2020,1.0
출항환적,퀴라소,2020,13.0
출항환적,크로아티아,2020,1350.5
출항환적,키리바시,2020,1957.0
출항환적,키프로스,2020,100.0
출항환적,탄자니아,2020,497.0
출항환적,태국,2020,86984.25
출항환적,토고,2020,132.5
출항환적,통가,2020,1014.0
출항환적,투발루,2020,2.0
출항환적,튀니지,2020,1622.5
출항환적,튀르키예,2020,37092.75
출항환적,트리니다드 토바고,2020,5614.0
출항환적,파나마,2020,51707.0
출항환적,파라과이,2020,207.0
출항환적,파키스탄,2020,6212.75
출항환적,파푸아 뉴기니,2020,5367.0
출항환적,팔라우,2020,169.0
출항환적,페루,2020,61891.0
출항환적,포르투갈,2020,372.0
출항환적,폴란드,2020,2155.0
출항환적,푸에르토리코,2020,7597.0
출항환적,프랑스,2020,11960.5
출항환적,프랑스령 기아나,2020,38.0
출항환적,프랑스령 폴리네시아,2020,828.0
